,Show_Number,Air_Date,Round,Category,Value,Question,Answer
72970,3148,4/15/98,Double Jeopardy!,FUN & GAMES,"$1,000 ",Johnny Carson & Eva Gabor made this party game a hit when they tried it on TV,Twister
27220,5793,11/18/09,Jeopardy!,AMERICAN CITIES,$600 ,"Many visitors to the Big Apple fly into this city's Liberty Airport, maybe on Continental",Newark
106661,5141,1/8/07,Double Jeopardy!,MUSICAL MASONS,"$1,600 ",This composer & Freemason belonged to Suomi Lodge No. 1 in Helsinki,Sibelius
201748,1323,5/9/90,Jeopardy!,SONGS OF THE '80s,$300 ,"Though ""Fame"" won the 1980 Oscar, this song beat it on the pop charts: [audio clue]",9 To 5
136797,3001,9/22/97,Jeopardy!,GONE FISHING,$200 ,"In catching trout, these insects have largely given way to decanter hooks with the same name",Flies
13929,2124,11/25/93,Jeopardy!,JOHN PAUL II,$500 ,He visited this Haitian neighbor in 1992 in celebration of Columbus' visit there 500 years earlier,Dominican Republic
107162,1193,11/8/89,Jeopardy!,JEWELRY,$400 ,Ancient Egyptian jewelry made frequent use of the scarab which is this,beetle
188479,5867,3/2/10,Jeopardy!,MESSAGE IN A BATTLE,$800 ,The English crushed the Highland clans at Culloden Moor in 1746; message to this would-be king: Stop pretending!,Bonnie Prince Charlie
178987,3763,1/3/01,Jeopardy!,LEND ME YOUR MOUSEKETEER EARS,$100 ,She's probably America's favorite Mouseketeer & QVC sells her collectible bears,Annette Funicello
118103,3977,12/11/01,Jeopardy!,GETTIN' FRIENDLY WITH MADONNA,"$1,000 ","This Madonna pal came out with ""I'm Your Woman"" in '85 but she's better known for ""Without You I'm Nothing""",Sandra Bernhard
215519,4216,12/23/02,Double Jeopardy!,ODE TO ENGLAND,$400 ,Joy in children he does cause; he's the British Santa Claus,Saint Nicholas/Father Christmas
98081,3867,5/29/01,Jeopardy!,DESCRIBING THE SPORT,$300 ,"Throw spheroid called horsehide, but not always made of such, run 360 feet to score, get $252 million contract",Baseball
173109,2858,1/22/97,Double Jeopardy!,ORGANIZATIONS,$400 ,It's what NATO stands for,North Atlantic Treaty Organization
162968,5532,9/30/08,Jeopardy!,WHY DON'T YOU COME TO YOUR SENSES?,$400 ,"Fantastic, groovy, ""out of"" this, man",sight
68010,3556,2/7/00,Double Jeopardy!,PEOPLE IN HISTORY,"$1,000 ","For helping the Lincoln conspirators, she was the first woman hanged by the U.S. government",Mary Surratt
194300,4234,1/16/03,Jeopardy!,FACTS & FIGURES,$600 ,"He planted 64 poems in his ""Child's Garden of Verses""",Robert Louis Stevenson
78360,5728,7/1/09,Jeopardy!,TAKE MY TEMPERATURE,$800 ,"When he invented his scale, he originally made 0 the boiling point of water & 100 its freezing point; it changed later",(Anders) Celsius
100883,5402,2/19/08,Jeopardy!,WORLD FLAGS,"$2,000 ","<a href=""http://www.j-archive.com/media/2008-02-19_J_16.jpg"" target=""_blank"">Cuba's flag</a> is called ""La Estrella Solitaria"", meaning this, like Texas's nickname",the Lone Star
188264,5044,7/13/06,Double Jeopardy!,WORLD LEADERS,$800 ,"In 2001 <a href=""http://www.j-archive.com/media/2006-07-13_DJ_25.jpg"" target=""_blank"">he</a> was sworn in as his country's prime minister",Junichiro Koizumi
167081,4649,11/18/04,Double Jeopardy!,EARLS GONE WILD,$400 ,"Kenyan capital where the Earl of Erroll frolicked with randy, druggie friends--until he was murdered!",Nairobi
31796,4305,4/25/03,Double Jeopardy!,SKINS,$400 ,"Before snakes shed their skin, also called this activity, their eyes get cloudy, then clear again",molting
202977,4709,2/10/05,Jeopardy!,"OH, SHOOT!","$1,000 ","This Olympic event, from words meaning ""two contests"", first began as a sport in the late 1700s",the biathlon
95878,3450,9/10/99,Double Jeopardy!,SKY WATCHING,"$1,000 ",The star Polaris doesn't seem to move through the sky because it is almost directly above this place,North Pole
149218,56,11/26/84,Double Jeopardy!,GRAMMAR,$600 ,Punctuation mark of the imperative mode,an exclamation mark
140922,5557,11/4/08,Double Jeopardy!,NOVEL ALLITERATION,$800 ,"Peter Hoeg wrote of her ""Sense of Snow""",Smilla
112104,4970,3/31/06,Jeopardy!,VANITY,$800 ,"This ""Evening Shade"" star wigged out when it was revealed that he owed $7,500 to 2 toupee companies",Burt Reynolds
38854,3386,5/3/99,Jeopardy!,TV CHARACTERS,$300 ,"Jack McFarland, Karen Walker, Grace Adler",Will & Grace
71335,6106,3/14/11,Double Jeopardy!,FROM HERE TO THERE,$800 ,"In 1946 Churchill said, ""From Stettin in"" this north European sea ""to Trieste... an iron curtain has descended""",the Baltic
207099,6278,12/28/11,Jeopardy!,POTPOURRI,$200 ,A verbal prompt for an actor,a cue
30860,4268,3/5/03,Jeopardy!,CELEBRITY RHYME TIME,$400 ,Blanchett's beaus,Cate's dates
173086,2858,1/22/97,Jeopardy!,FOOLS & FOLLIES,$300 ,Iron pyrite,Fool's gold
167164,620,4/24/87,Double Jeopardy!,RELIGION,"$1,000 ","This word comes from the Hebrew word meaning ""the annointed one""",messiah
104969,5972,7/27/10,Final Jeopardy!,MONARCHIES,,1 of the 2 largely German-speaking monarchies in the world; they're about 250 miles apart,(1 of) Liechtenstein & Luxembourg
79719,4180,11/1/02,Double Jeopardy!,"""ME""","$2,000 ",One of these particles consists of a quark & an antiquark,meson
166264,6039,12/9/10,Double Jeopardy!,MIDDLE NAMES,"$1,200 ",An American naval hero: Hazard,(Oliver Hazard) Perry
11059,5311,10/15/07,Double Jeopardy!,CHILE DOGS,"$2,000 ","Chile dogs include the pastor aleman, this breed",the German shepherd
123931,3072,12/30/97,Double Jeopardy!,MUSIC MAKERS,$800 ,"This ""Hansel und Gretel"" composer also wrote incidental music for Shakespeare's plays",Engelbert Humperdinck
115536,5711,6/8/09,Double Jeopardy!,FLOWER NAMES,"$1,200 ","Referring to the shape of their leaves, the name of these flowers seen <a href=""http://www.j-archive.com/media/2009-06-08_DJ_18.jpg"" target=""_blank"">here</a> means ""small sword""",gladiola
207929,5049,7/20/06,Jeopardy!,CONVERSION,$200 ,"Chevy says its Avalanche can convert ""from a full-size SUV to"" this type of truck ""in less than a minute""",a pickup truck
117654,5672,4/14/09,Jeopardy!,SCANDALOUS NURSERY RHYMES,$200 ,Perhaps too much eggnog threw off this character's equilibrium when he had a great fall off a wall,Humpty Dumpty
165577,3625,5/12/00,Jeopardy!,THE ABCs OF THE CDC,$300 ,"At its inception in 1946, the CDC fought this mosquito-borne disease that was prevalent in the South at the time",Malaria
173663,4524,4/15/04,Double Jeopardy!,ON LOCATION,"$2,000 ","The 1954 Barbara Stanwyck movie ""Cattle Queen of"" this state was filmed on location in Glacier National Park",Montana
203975,5371,1/7/08,Jeopardy!,TERN! TERN! TERN!,$200 ,"Like a loon's, a tern's feet have this feature, yet terns are not notable swimmers",webbing
147086,5245,6/1/07,Jeopardy!,"WE CAN REBUILD ""HIM""",$200 ,A small cap worn over the fingertip for protection,a thimble
161037,3715,10/27/00,Jeopardy!,"WHERE IT'S ""AT""",$400 ,This neck scarf is named for its resemblance to one worn by Croatian soldiers,Cravat
170853,3347,3/9/99,Double Jeopardy!,IN A STORM MOVIE,$800 ,"In this film, Bogie & Bacall wait out a tropical storm with Edward G. Robinson",Key Largo
47931,6134,4/21/11,Final Jeopardy!,SCIENTISTS,,"At the time of the Apollo 11 moon landing, his widow said, ""that was his dream, sending a rocket to the moon""",Robert Goddard
53232,5543,10/15/08,Double Jeopardy!,WHATCHA EATIN'?,$800 ,"This dish, steak dipped in batter before cooking; it doesn't contain the poultry that's in its name",chicken-fried steak
215286,3865,5/25/01,Jeopardy!,A NOVEL CATEGORY,$500 ,"A relative of Chilean president Salvador Allende, she wrote the luminous novel ""Eva Luna""",Isabel Allende
201505,5984,9/23/10,Jeopardy!,ALCOHOLICS EPONYMOUS,$200 ,"New Orleans bartender Henry Ramos invented the Ramos Fizz, made with cream, egg whites, lime juice & this liquor",gin
6426,3010,10/3/97,Jeopardy!,EXPLORERS,$500 ,"His family friend Tyrker found vines & grapes in the new land, so he called the area Vinland",Leif Ericson
89890,5959,7/8/10,Double Jeopardy!,ALL ABOUT ART,"$2,000 ","In 1889, Van Gogh painted <a href=""http://www.j-archive.com/media/2010-07-08_DJ_25.jpg"" target=""_blank"">these</a> title flowers",irises
60311,3312,1/19/99,Double Jeopardy!,THE THEATRE,$800 ,"""Swimming To Cambodia"" monologist who starred in the aptly-titled one-man show ""Gray's Anatomy""",Spalding Gray
215925,5876,3/15/10,Jeopardy!,STORY PROBLEMS,$600 ,Sydney Carton solves the problem of saving Charles Darnay's neck (literally) in this work,A Tale of Two Cities
185498,4032,2/26/02,Jeopardy!,COACHING FOOTBALL,$600 ,"If your team, trailing 14-6, scores a touchdown with 10 seconds left, go for one of these to tie the game",a 2-point conversion
11899,3139,4/2/98,Jeopardy!,SPORTS SCORES,$200 ,"In football, the defense earns this many points by tackling the opposing team's ball carrier in his own end zone",two
166839,3438,7/14/99,Jeopardy!,BIRD WORDS & PHRASES,$500 ,"It's a ""homicidal"" phrase for achieving 2 goals with a single effort",Killing two birds with one stone
205822,4962,3/21/06,Jeopardy!,EGGHEADS,"$1,000 ","Seen <a href=""http://www.j-archive.com/media/2006-03-21_J_15.jpg"" target=""_blank"">here</a>, Robert J. Aumann shared the 2005 Nobel Prize in this for his work based on game theory",Economics
213057,4156,9/30/02,Jeopardy!,HIDDEN,$600 ,"Hidden features on DVDs are known as these ""holiday"" items",Easter eggs
127700,5450,4/25/08,Jeopardy!,U.S. COUNTIES,"$1,400 ",Lake of the Woods County is this state's northernmost,Minnesota
102078,5357,12/18/07,Double Jeopardy!,ARCHITECTURE,"$1,200 ","Robert Mills, a Greek Revivalist architect, designed the U.S. Treasury building & this 555-foot-tall structure",the Washington Monument
150321,5738,7/15/09,Double Jeopardy!,SCIENCE EN ESPAÌÔOL,$400 ,Eje is this imaginary line about which the Earth rotates,the axis
185689,2933,5/7/97,Jeopardy!,THE LIVING EARTH,$500 ,"These ""laughing"" scavengers will eat almost anything & will steal food even from lions",Hyenas
161865,3022,10/21/97,Jeopardy!,WORLD RELIGION,$300 ,"In Christian churches, Ascension Day is observed 40 days after this holiday",Easter
39829,4825,7/22/05,Jeopardy!,HERO SANDWICH,"$1,000 ",A 15th century poem by a guy known as Blind Harry is the main source for the life of this Scottish hero,William Wallace
175460,1320,5/4/90,Double Jeopardy!,PLANTS & TREES,"$1,000 ",Spruces have drooping cones & angular leaves while these have upright cones & flat leaves,Firs
113295,1339,5/31/90,Jeopardy!,WORLD NEWS,$400 ,It gained independence from France in 1962; now a new constitution allows multiple political parties,Algeria
133950,4964,3/23/06,Jeopardy!,SLOGANS ON THE SPOT,"$1,000 ","Garlic breath sufferers can't resist this chewy mint, ""The Freshmaker""",Mentos
97748,5407,2/26/08,Double Jeopardy!,BOXER,"$1,200 ",From East L.A. this Mexican American won the WBO light weight title in 1994 & a Grammy nomination in 2001,Oscar De La Hoya
20673,4981,4/17/06,Jeopardy!,STUPID ANSWERS,$800 ,"Henry Adams won a Pulitzer for ""The Education of Henry Adams""; this man won for ""The Americanization of Edward Bok""",Edward Bok
127726,5450,4/25/08,Double Jeopardy!,CAT SKILLS,"$1,200 ","AKA vibrissae, these cat features can register minute shifts in air currents",whiskers
143800,4310,5/2/03,Double Jeopardy!,SURVIVORS,"$1,600 ","A survivor of this 1912 disaster at sea, Marjorie Newell Robb, died in 1992 at the age of 103",sinking of the Titanic
165670,4834,9/22/05,Double Jeopardy!,LITERARY LANDMARKS,"$1,600 ","Hyde Park's W.H. Hudson Memorial boasts a statue of this bird girl, heroine of Hudson's novel ""Green Mansions""",Rima
71822,5270,7/6/07,Double Jeopardy!,LITERARY THEATRE,"$1,200 ","John Updike's novel ""The Witches Of"" this place has cast a spell as a musical",Eastwick
103141,5465,5/16/08,Double Jeopardy!,FIGHT SONGS,$400 ,Menkaure is our cry!  He will crush the Sinai!  Ra!  Ra!  Ra!,Egypt
27253,5793,11/18/09,Double Jeopardy!,NAME THE POEM,"$1,200 ","""Rats!  They fought the dogs, and killed the cats, and bit the babies in the cradles""","""The Pied Piper of Hamelin"""
21101,4308,4/30/03,Double Jeopardy!,21st CENTURY MOVIES,$800 ,"(Sofia of the Clue Crew in Kauai, Hawaii)  Hawaiian jungles stood in for African jungles when this 2003 Bruce Willis movie was filmed",Tears of the Sun
9572,5701,5/25/09,Jeopardy!,TIME'S TOP 10 EVERYTHING OF 2008,$400 ,"No. 2 in ""Jerry Stiller's Top 10 Words"": This before ""gevalt!"" (Bonus--No. 3 was ""colonoscopy"")",Oy
149484,6007,10/26/10,Jeopardy!,LIVE LONG & PROSPER,$800 ,"Daniel Ludwig, who lived to be 95, pioneered this 11-letter type of ship of over 100,000 tons of displacement",super tankers
122949,2875,2/14/97,Jeopardy!,TRANSPORTATION,$400 ,In the 19th century Gustavus Swift developed this type of railway car to preserve his packed meat,Refrigerator Car
9505,4987,4/25/06,Jeopardy!,LEGENDARY LEGENDS,$200 ,"Legend says if you run unto the ghost of the pirate Blackbeard, he may be hard to recognize, as he's missing this",his head
24757,1245,1/19/90,Jeopardy!,WESTERN SONGS,$100 ,"The classic western song that begins ""See them tumbling down....""","""Tumbling Tumbleweeds"""
194658,3278,12/2/98,Jeopardy!,WORD ORIGINS,$200 ,"From a Provencal word for ""witch"", it's a sports team's good-luck symbol",Mascot
186904,4996,5/8/06,Double Jeopardy!,NO. 1 ALBUMS,$800 ,"1990: ""Please (this rapper) Don't Hurt 'Em""",Hammer
202203,4124,7/4/02,Double Jeopardy!,THE FLAGPOLE,$400 ,"Originally a flagpole was just a straight one of these cut, trimmed & treated",a tree trunk
97874,2752,7/16/96,Double Jeopardy!,AMERICAN MOVIE STARS,$800 ,"This star of ""East of Eden"" & ""Rebel Without A Cause"" was only 24 when he died in a 1955 car crash",James Dean
84999,1246,1/22/90,Jeopardy!,ADVERTISING,$200 ,"Ibuprofen product that says it's ""advanced medicine for pain""",Advil
91496,3826,4/2/01,Double Jeopardy!,EARLY AMERICA,$400 ,This colony was founded in 1607 in what's now the state of Virginia,Jamestown
145836,4932,2/7/06,Jeopardy!,DINNER & A MOVIE,$400 ,"In ""Shrek 2"" this Antonio Banderas character is hired to commit ogrecide at the Poison Apple Inn",Puss-in-Boots
163819,1147,9/5/89,Jeopardy!,"YES, ""MASTER""",$500 ,"If this breaks, your brakes won't brake",master cylinder
138663,5947,6/22/10,Double Jeopardy!,LUAU LUAU,$400 ,Wear one of these garlands to the luau; the haku type is worn on the head,a lei
176685,3335,2/19/99,Jeopardy!,"""MASTER""s",$500 ,He became a Kansas lawman after a killin' over a dance-hall girl in Texas,Bat Masterson
135627,2897,3/18/97,Jeopardy!,EXPLORERS,$400 ,This conqueror of Mount Everest was in the first group to climb the southern face of New Zealand's Mount Cook,Sir Edmund Hillary
206532,5962,7/13/10,Jeopardy!,FAIL TO THE CHIEF,$800 ,"His 1807 Embargo Act, meant to force Britain and France to respect our economic might, wrecked the U.S. economy",Jefferson
162724,5168,2/14/07,Jeopardy!,"OO, SORRY!",$400 ,In 1673 Marquette & Joliet explored in birchbark ones of these,canoes
103726,4574,6/24/04,Jeopardy!,LUCKY SEVEN,$600 ,In a famous opera it was the scandalous dance that Salome performed for Herod,the Dance of the Seven Veils
92274,3521,12/20/99,Double Jeopardy!,LITERATURE,"$1,000 ","This 1861 George Eliot novel is subtitled ""The Weaver of Raveloe""","""Silas Marner"""
143849,4490,2/27/04,Double Jeopardy!,GEOLOGY,"$1,200 ","In the science of geology, petrographers are concerned with classifying these",rocks
100127,6063,1/12/11,Jeopardy!,WE WHISTLE WHILE YOU WORK,"$1,000 ","We provide you the best in classical whistling with this piece heard <a href=""http://www.j-archive.com/media/2011-01-12_J_05.mp3"">here</a>",(Vivaldi's) The Four Seasons
141084,1318,5/2/90,Jeopardy!,NICKNAMES,$400 ,"""Dark"" nickname shared by Jackie Onassis' father, John Bouvier, & General Pershing","""Black Jack"""
19390,5815,12/18/09,Jeopardy!,COMIC BOOK VILLAINS,$400 ,"Incendiary pumpkin bombs are among the many weapons used by this ""colorful"" Spider-Man villain",the Green Goblin
20876,3118,3/4/98,Double Jeopardy!,ONOMATOPOETIC WORDS,$800 ,"This onomatopoetic word precedes art, fly & gun",Pop
198681,5223,5/2/07,Jeopardy!,THE MOVIES,$400 ,"This actor really sings the faux '80s song ""Pop! Goes My Heart"" on the ""Music and Lyrics"" soundtrack",Hugh Grant
164718,3,9/12/84,Double Jeopardy!,NEW TESTAMENT,"$1,500 ","""Blessed are"" these ""for they shall be called the children of God""",the peacemakers
215240,3151,4/20/98,Double Jeopardy!,FAMOUS FRENCHMEN,$400 ,"In 1619 this math whiz could have said, ""I think, therefore I am joining the duke of Bavaria's army""",Descartes
17260,6192,7/12/11,Jeopardy!,HUNTER S. THOMPSON,$600 ,"In 1972's ""Fear and Loathing on the Campaign Trail"", Thompson chronicled the campaigns of these 2 opponents",Nixon & McGovern
802,4335,6/6/03,Jeopardy!,WEATHER WORLD,"$1,000 ","The Australian mountains that include the Charlotte's Pass ski area, or the weather there in July",Snowy
65113,4471,2/2/04,Jeopardy!,ANIMAL QUOTES,$200 ,"""I had a little"" one of these, ""his name was Dapple Gray; I lent him to a lady to ride a mile away""",a pony
118165,4350,6/27/03,Jeopardy!,CRACK OPEN A U.S. HISTORY BOOK,"$1,000 ","Though the Supreme Court said in the 1830s this tribe was its own ""nation"" within Georgia, it didn't happen",Cherokee
170933,4739,3/24/05,Jeopardy!,OLYMPIC BOXERS,$600 ,"Teofilo Stevenson of this country impressively won heavyweight gold in 1972, 1976 & 1980",Cuba
204166,4905,12/30/05,Jeopardy!,COLORFUL RHYME TIME,$800 ,A pale green sword,a jade blade
181768,2015,5/14/93,Double Jeopardy!,BODIES OF WATER,$400 ,The Straits of Florida & the Yucatan Channel are this gulf's only outlets,the Gulf of Mexico
64277,5771,10/19/09,Jeopardy!,SELF-INDULGENT REALITY TV,$600 ,"I guess you could say this actress' show ""It's Complicated"" has a certain ""sheen"" about it",Denise Richards
29916,4494,3/4/04,Jeopardy!,CELEBRITIES' ORIGINAL NAMES,"$1,000 ",Wrestler turned actor Dwayne Johnson,The Rock
1572,5795,11/20/09,Jeopardy!,"I'M GOING ""INN""",$800 ,"It's the type of sail seen <a href=""http://www.j-archive.com/media/2009-11-20_J_09.jpg"" target=""_blank"">here</a> in red, white & blue",the spinnaker
59598,5302,10/2/07,Double Jeopardy!,THE SCINTALLATING 1700s,"$2,000 ","Lavinia Fenton created the role of Polly Peachum in this John Gay ""Opera"", then ran off with the Duke of Bolton",The Beggar's Opera
60773,5262,6/26/07,Double Jeopardy!,ROCKERS BANNED IN THE USSR,$400 ,This former partner of Ike was banned for being too sexy,Tina Turner
77755,617,4/21/87,Jeopardy!,SUMMER,$300 ,"Cocozell, patty pan & yellow crookneck",summer squashes
160530,4210,12/13/02,Jeopardy!,THE MAINE EVENT,$200 ,"Don't tell Idaho, but this is Maine's leading agricultural crop also",potatoes
145609,3829,4/5/01,Jeopardy!,FOOD & DRINK,$300 ,"This salad with chopped turkey, avocado, bacon & blue cheese was created at L.A.'s Brown Derby Restaurant",Cobb salad
194848,3499,11/18/99,Jeopardy!,AT THE MAGAZINE STAND,$500 ,"""An ounce of"" this leading health magazine ""is worth a pound of cure""",Prevention
21848,4929,2/2/06,Jeopardy!,IF THEY MARRIED...,$600 ,"Actress Julie, nurse Dixie McCall on ""Emergency!"", falls for Lloyd's son Jeff & hyphenates her name to...",Julie London-Bridges
164023,5122,12/12/06,Jeopardy!,STATE THE STATE,$400 ,"""Balmer"" is the local pronunciation of the largest city in this state",Maryland
202736,4645,11/12/04,Jeopardy!,GET A DEGREE,"$1,000 ",Check it out!  B.L.S. is a bachelor of this,library science
43868,5457,5/6/08,Jeopardy!,PEOPLE IN THE NEWS,$600 ,"In 2008 the committee cited ""profound impact"" & ""poetic power"" in giving him the first Pulitzer for a rock musician",Bob Dylan
163238,3505,11/26/99,Double Jeopardy!,THE BIG VALLEY,"$1,000 ",The 18 survivors out of a party of 30 who made a trek through this valley in 1849 gave it its name,Death Valley
43703,6078,2/2/11,Jeopardy!,3-LETTER WORDS,$600 ,"Weep aloud, or cry uncontrollably",sob
17925,5763,10/7/09,Jeopardy!,INFLATABLE,"$1,000 ","Usually attached to an inflatable cuff, a sphygmomanometer measures this",blood pressure
8839,5397,2/12/08,Double Jeopardy!,LASTS,"$2,000 ","The name of the last dynasty to rule Vietnam, it's the family name of about half Vietnam's people",Nguyen
70065,5366,12/31/07,Jeopardy!,MY DREAM HOUSE,$200 ,"In this style of pre-Revolutionary Americans, I like the Southern <a href=""http://www.j-archive.com/media/2007-12-31_J_26.jpg"" target=""_blank"">version</a> with brick exterior & side chimneys",Colonial
149744,4596,9/6/04,Double Jeopardy!,"FISH, BIRD, OR MAMMAL","$1,600 ",The ptarmigan,bird
96927,3351,3/15/99,Jeopardy!,THE NEW $20 BILL,$400 ,This building on the back of the bill was trashed by revelers the night the man on the front moved in,The White House (when Andrew Jackson moved in)
84334,3062,12/16/97,Double Jeopardy!,BONUS MOVIE,"$1,600 ",She won the 1968 Academy Award for Best Actress,Katharine Hepburn & Barbra Streisand
167452,3106,2/16/98,Double Jeopardy!,ACTORS & THEIR FILMS,$800 ,Sophia Loren did her own singing when she played Aldonza in this movie musical,Man Of La Mancha
153753,4814,7/7/05,Double Jeopardy!,LIQUIDS,"$2,000 ","A quick dose of candy can help if you take too much of this, prescribed twice a day for many people",insulin
205618,5504,7/10/08,Double Jeopardy!,TV GROUPS,"$1,200 ","The Malachi Brothers, The Pinkettes",Happy Days
145351,6056,1/3/11,Double Jeopardy!,NUMBERS,"$2,000 ",The Screaming Eagles are this number airborne division,101st
144242,3526,12/27/99,Jeopardy!,L.A. 2000,$400 ,"(Hi, this is Dick Riordan, mayor of Los Angeles)  This L.A. landmark that celebrates its 77th anniv. in 2000 was originally built to promote a real estate development","The ""Hollywood"" Sign"
57544,1267,2/20/90,Jeopardy!,INSURANCE,$500 ,"Used in setting rates, the theory of this was developed by Blaise Pascal & Pierre de Fermat in the 1600s",Theory of Probability
164284,5833,1/13/10,Double Jeopardy!,BLOOD WORK,$400 ,Blood flows through a network of vessels known collectively as this system,the circulatory system
191232,4978,4/12/06,Jeopardy!,FOREIGN WORDS & PHRASES,$600 ,"In Greek this 2-word phrase means ""the many""; it refers to the common people",hoi polloi
25727,4123,7/3/02,Jeopardy!,"FEELING A BIT ""ILL""",$600 ,A flavorful gherkin,dill (pickle)
18974,5601,1/5/09,Double Jeopardy!,PIGSKIN LEGENDS,"$1,600 ","In his first 10 seasons, 1998-2007, this Viking-Raider-Patriot amassed more than 12,000 receiving yards",(Randy) Moss
77398,5318,10/24/07,Jeopardy!,THE SOUTHERNMOST NATION,$400 ,"Nepal, Nicaragua, Norway",Nicaragua
78186,3479,10/21/99,Jeopardy!,SOUTH DAKOTA,$500 ,"On August 2, 1876 this gunfighter was shot in the back of the head by Jack McCall in Deadwood",Wild Bill Hickok
92390,6090,2/18/11,Double Jeopardy!,SINGLE-NAMED SINGERS,"$1,200 ","This R&B singer had the aptly titled album ""Rated R""",Rihanna
107175,1193,11/8/89,Double Jeopardy!,CANADIAN HISTORY,$200 ,In 1670 Hudson's Bay Co. was chartered in this country & given rights to land draining into the bay,England
53335,5987,9/28/10,Jeopardy!,"I LOVE YOU, ""MIN""",$800 ,Overbearing,domineering
58748,3002,9/23/97,Double Jeopardy!,SHAKESPEARE'S FIRST WORDS,$400 ,"""When shall we three meet again""",Macbeth
54556,5226,5/7/07,Double Jeopardy!,"DIRECTOR""S""","$1,200 ","""JFK"" & ""World Trade Center""",Oliver Stone
55754,4244,1/30/03,Double Jeopardy!,HISTORY,$800 ,"In 1533, at age 3, he became grand prince of Moscow; 14 years later he was crowned Russia's first czar",Ivan the Terrible
146322,5330,11/9/07,Jeopardy!,THE BELOVED BRACHIOSAURUS,$400 ,"Referring to its long forelimbs, the name Brachiosaurus comes from the Greek for this ""lizard""",arm
84292,3062,12/16/97,Jeopardy!,SEWING,$200 ,"The direction of threads in a fabric is called this, like the pattern of fibers in wood",Grain
61624,5531,9/29/08,Double Jeopardy!,ANCIENT GREEK WRITERS,"$1,200 ","The playwright Menander wrote, ""Marriage, if one will face the truth, is... a necessary"" this",evil
182737,4466,1/26/04,Double Jeopardy!,"ON ""Q""","$2,000 ",One of the 7 hills upon which ancient Rome was built,Quirinal
108778,5500,7/4/08,Double Jeopardy!,TRYING TO MAKE ME GO TO RIYADH,"$1,600 ",Perhaps you could stay at the Holiday Inn Riyadh-Minhal before busing to the Hajj in this city,Mecca
101663,5288,9/12/07,Double Jeopardy!,LEAVE 'EM LAUGHING,"$1,200 ","In an Ella Wheeler Wilcox poem, they're the 7 words that precede ""weep and you weep alone""",laugh and the world laughs with you
69761,5820,12/25/09,Jeopardy!,SHIRLEY MacLAINE,$200 ,"Born in 1934, Shirley MacLaine was named after this film star born in 1928",Shirley Temple
29689,5383,1/23/08,Jeopardy!,"ITOS, TITOS & FRITOS","$1,000 ","On May 4, 1980 Tito died in Ljubljana in what was then this country",Yugoslavia
205370,4326,5/26/03,Double Jeopardy!,WHAT'S IN A NAME?,$800 ,"A daytime talk show host, he was named after the Catholic high school his father attended",Regis Philbin
192133,4748,4/6/05,Double Jeopardy!,ALL'S WHALE THAT ENDS WHALE,$400 ,"This state's official marine mammal is the bowhead whale, which inhabits Arctic waters",Alaska
159459,3311,1/18/99,Jeopardy!,AMERICA SINCE 1900,$300 ,"Approved in the 1950s, this compound has been added to the drinking water of about half of the U.S. population",Fluoride
40761,2884,2/27/97,Jeopardy!,AUTO FIRSTS,$300 ,In 1932 this motor city laid the 1st mile of concrete pavement; in 1914 it erected the 1st stop sign,Detroit
146482,3455,9/17/99,Double Jeopardy!,SPORTS STARS,$800 ,"This American won her first Wimbledon singles title in 1999, beating Steffi Graf in the final",Lindsay Davenport
132685,6215,9/30/11,Jeopardy!,BLU-RAYS,$400 ,"The 2008 Blu-ray release of this all-time classic comes with a passport holder, for your flight to Lisbon",Casablanca
24535,3643,6/7/00,Jeopardy!,I'M JUST AN OBJECT,$400 ,You curry food when you add spices; you curry this when you flatter someone,Favors
192755,5046,7/17/06,Jeopardy!,INVENTORS & INVENTIONS,"$2,400 ","This device was first developed by Zenith in 1950 under the name ""Lazy Bones""",a (TV) remote control
190121,4211,12/16/02,Double Jeopardy!,"A LITTLE ""R"" & ""R""",$800 ,"This cocktail named for a Scottish outlaw consists of Scotch whisky, sweet vermouth & bitters",Rob Roy
47728,6245,11/11/11,Jeopardy!,WHAT'S THAT ON YOUR HEAD?,"$1,000 ","The name of this head scarf is the Russian word for ""grandmother""",babushka
173209,3847,5/1/01,Jeopardy!,CONTINENTAL HIGH POINTS,$400 ,Mt. Aconcagua,South America
2855,422,4/22/86,Double Jeopardy!,THE FUNNIES,"$1,000 ","Creator of ÛÏBeetle BaileyÛ, whose name was defined in ÛÏB.C.Û as ÛÏa dead nightcrawlerÛ",Mort Walker
82615,6121,4/4/11,Jeopardy!,JEOPARDY PLATFORMS,"$1,000 ","The Kangshung Face, the North Col & the Khumu Icefall are all parts of this dangerous place",Mt. Everest
122497,4615,10/1/04,Double Jeopardy!,CALCULUS,"$1,200 ","On a graph, the derivative of a function is this, which all lines except vertical ones have",a slope
216088,6207,9/20/11,Jeopardy!,TV TITLE ROLE PLAYING,$200 ,"""Hannah Montana""",Miley Cyrus
12688,3749,12/14/00,Double Jeopardy!,AMERICAN ART,$200 ,One of the few portraits of colonial craftsmen is Copley's painting of this silversmith,Paul Revere
182990,4269,3/6/03,Jeopardy!,BRITISH ROYAL DADS,$400 ,He fathered 2 queens of England by 2 different women,Henry VIII
